"Students Absent 21 or More Days by School
2015-16, Final Survey 5",,,,,,
"*To provide meaningful results and to protect the privacy of individual students, data are displayed only when the total number of students in a group is at least 10 and when the performance of individuals would not be disclosed. Data for groups less than 10 are displayed with an asterisk (*).",,,,,,
"District #","District Name","School #","School Name",Enrollments,"Absent 21 Days or Over","% Absent 21 or More Days"
5,BREVARD,4041,"TROPICAL ELEMENTARY SCHOOL",824,38,"0,04611650485"
5,BREVARD,4051,"AUDUBON ELEMENTARY SCHOOL",718,45,"0,0626740947"
5,BREVARD,4071,"ROBERT L. STEVENSON ELEMENTARY SCHOOL",491,8,"0,01629327902"
5,BREVARD,4111,"THOMAS JEFFERSON MIDDLE SCHOOL",665,29,"0,04360902255"
5,BREVARD,4121,"LEWIS CARROLL ELEMENTARY SCHOOL",700,19,"0,02714285714"
5,BREVARD,5011,"COCOA BEACH JUNIOR/SENIOR HIGH SCHOOL",1161,93,"0,08010335917"
5,BREVARD,5012,"THEODORE ROOSEVELT ELEMENTARY  SCHOOL",430,13,"0,03023255813"
5,BREVARD,5021,"FREEDOM 7 ELEMENTARY SCHOOL OF INTERNATIONAL STUDIES",415,10,"0,02409638554"
5,BREVARD,5031,"CAPE VIEW ELEMENTARY SCHOOL",525,33,"0,06285714285"
5,BREVARD,6011,"SATELLITE SENIOR HIGH SCHOOL",1405,70,"0,04982206405"
5,BREVARD,6012,"DELAURA MIDDLE SCHOOL",744,34,"0,04569892473"
5,BREVARD,6013,"SPESSARD L. HOLLAND ELEMENTARY SCHOOL",484,14,"0,02892561983"
5,BREVARD,6051,"SEA PARK ELEMENTARY SCHOOL",373,15,"0,04021447721"
5,BREVARD,6061,"SURFSIDE ELEMENTARY SCHOOL",465,23,"0,04946236559"
5,BREVARD,6071,"OCEAN BREEZE ELEMENTARY SCHOOL",573,33,"0,05759162303"
5,BREVARD,6081,"INDIALANTIC ELEMENTARY SCHOOL",791,48,"0,06068268015"
5,BREVARD,6082,"HERBERT C. HOOVER MIDDLE SCHOOL",539,37,"0,06864564007"
5,BREVARD,6101,"GEMINI ELEMENTARY SCHOOL",513,23,"0,04483430799"
5,BREVARD,6141,"DR. W.J. CREEL ELEMENTARY SCHOOL",1057,81,"0,07663197729"
5,BREVARD,6501,"PALM BAY ACADEMY CHARTER SCHOOL",689,32,"0,04644412191"
5,BREVARD,6506,"CAMPUS CHARTER SCHOOL",169,13,"0,07692307692"
5,BREVARD,6507,"ODYSSEY CHARTER SCHOOL",1107,88,"0,07949412827"
5,BREVARD,6508,"SCULPTOR CHARTER SCHOOL",555,21,"0,03783783783"
5,BREVARD,6509,"ROYAL PALM CHARTER SCHOOL",386,14,"0,03626943005"
5,BREVARD,6511,"EDUCATIONAL HORIZONS CHARTER",116,6,"0,05172413793"
5,BREVARD,6515,"IMAGINE SCHOOLS AT WEST MELBOURNE",313,31,"0,09904153354"
5,BREVARD,6523,"EMMA JEWEL CHARTER ACADEMY",382,36,"0,09424083769"
5,BREVARD,6540,"VIERA CHARTER SCHOOL",998,34,"0,03406813627"
5,BREVARD,6541,"ODYSSEY PREPARATORY CHARTER ACADEMY",283,13,"0,04593639575"
5,BREVARD,6543,"PINEAPPLE COVE CLASSICAL ACADEMY",452,14,"0,03097345132"
5,BREVARD,7004,"BREVARD VIRTUAL FRANCHISE",178,0,0
6,BROWARD,11,"DEERFIELD BEACH ELEMENTARY SCHOOL",763,48,"0,06290956749"
6,BROWARD,21,"POMPANO BEACH MIDDLE SCHOOL",1123,31,"0,02760463045"
6,BROWARD,31,"OAKLAND PARK ELEMENTARY SCHOOL",746,72,"0,0965147453"
6,BROWARD,41,"NORTH SIDE ELEMENTARY SCHOOL",508,32,"0,06299212598"
6,BROWARD,100,"HOSPITAL HOMEBOUND SERVICES",86,0,0
6,BROWARD,101,"DANIA ELEMENTARY SCHOOL",616,83,"0,13474025974"
6,BROWARD,111,"HOLLYWOOD HILLS ELEMENTARY SCHOOL",774,36,"0,0465116279"
6,BROWARD,121,"HOLLYWOOD CENTRAL ELEMENTARY SCHOOL",568,40,"0,07042253521"
6,BROWARD,131,"HALLANDALE ELEMENTARY SCHOOL",1253,99,"0,07901037509"
6,BROWARD,151,"RIVERLAND ELEMENTARY SCHOOL",682,77,"0,1129032258"
6,BROWARD,161,"WEST HOLLYWOOD ELEMENTARY SCHOOL",697,52,"0,07460545193"
6,BROWARD,171,"SOUTH BROWARD HIGH SCHOOL",2329,326,"0,13997423787"
6,BROWARD,185,"POMPANO BEACH HIGH SCHOOL",1214,8,"0,00658978583"
6,BROWARD,191,"WILTON MANORS ELEMENTARY SCHOOL",661,37,"0,05597579425"
6,BROWARD,201,"BENNETT ELEMENTARY SCHOOL",541,53,"0,09796672828"
6,BROWARD,211,"STRANAHAN HIGH SCHOOL",1593,116,"0,07281858129"
6,BROWARD,221,"CROISSANT PARK ELEMENTARY SCHOOL",927,89,"0,09600862998"
6,BROWARD,231,"COLBERT ELEMENTARY SCHOOL",798,71,"0,08897243107"
6,BROWARD,241,"MCARTHUR HIGH SCHOOL",2415,251,"0,10393374741"
6,BROWARD,251,"SUNRISE MIDDLE SCHOOL",1358,56,"0,0412371134"
6,BROWARD,271,"DILLARD ELEMENTARY SCHOOL",1020,112,"0,10980392156"
6,BROWARD,321,"WALKER ELEMENTARY SCHOOL (MAGNET)",729,78,"0,10699588477"
6,BROWARD,331,"COLLINS ELEMENTARY SCHOOL",392,44,"0,11224489795"
6,BROWARD,341,"BETHUNE MARY M ELEMENTARY SCHOOL",779,55,"0,07060333761"
6,BROWARD,343,"ATTUCKS MIDDLE SCHOOL",738,36,"0,0487804878"
6,BROWARD,361,"BLANCHE ELY HIGH SCHOOL",2298,160,"0,06962576153"
6,BROWARD,371,"DILLARD  6-12",2568,202,"0,07866043613"
6,BROWARD,391,"DEERFIELD PARK ELEMENTARY SCHOOL",643,47,"0,0730948678"
6,BROWARD,403,"HALLANDALE HIGH SCHOOL",1572,105,"0,06679389312"
6,BROWARD,405,"LANIER-JAMES EDUCATION CENTER",211,72,"0,34123222748"
6,BROWARD,452,"WHIDDON RODGERS EDUCATION CENTER",2046,896,"0,43792766373"
6,BROWARD,461,"OAKRIDGE ELEMENTARY SCHOOL",583,71,"0,1217838765"
6,BROWARD,471,"OLSEN MIDDLE SCHOOL",813,44,"0,0541205412"
6,BROWARD,481,"MCNICOL MIDDLE SCHOOL",936,12,"0,01282051282"
6,BROWARD,491,"HARBORDALE ELEMENTARY SCHOOL",476,22,"0,04621848739"
6,BROWARD,501,"BROWARD ESTATES ELEMENTARY SCHOOL",479,27,"0,05636743215"
6,BROWARD,511,"WATKINS ELEMENTARY SCHOOL",761,47,"0,06176084099"
6,BROWARD,521,"NORTH ANDREWS GARDENS ELEMENTARY SCHOOL",975,72,"0,07384615384"
6,BROWARD,531,"MIRAMAR ELEMENTARY SCHOOL",846,53,"0,06264775413"
6,BROWARD,551,"PLANTATION MIDDLE SCHOOL",902,22,"0,0243902439"
6,BROWARD,561,"NORCREST ELEMENTARY SCHOOL",899,77,"0,08565072302"
6,BROWARD,571,"TEDDER ELEMENTARY SCHOOL",795,64,"0,08050314465"
