"COURSE ENROLLMENTS BY DISTRICT BY COURSE",,,,
"SCHOOL YEAR 2015-16",,,,
"SURVEY 2 DATA AS OF 11/13/2015",,,,
,,,,
"DIST #","DISTRICT NAME","COURSE #","COURSE NAME",ENROLLMENT
01,ALACHUA,1202820,"IB FURTHER MATH 1",1
01,ALACHUA,1202830,"IB ADV CALCULUS",86
01,ALACHUA,1205010,"M/J GRADE 6 MATH",1024
01,ALACHUA,1205020,"M/J GRADE 6 MATH ADV",840
01,ALACHUA,1205040,"M/J GRADE 7 MATH",1034
01,ALACHUA,1205050,"M/J GRADE 7 MATH ADV",936
01,ALACHUA,1205070,"M/J GRADE 8 PRE-ALG",1024
01,ALACHUA,1206300,"INF GEO",3
01,ALACHUA,1206310,GEO,1352
01,ALACHUA,1206320,"GEO HON",868
01,ALACHUA,1207300,"LIB ARTS MATH 1",540
01,ALACHUA,1207310,"LIB ARTS MATH 2",8
01,ALACHUA,1209800,"IB MATH STUDIES",21
01,ALACHUA,1209830,"IB MATH HL 1",4
01,ALACHUA,1210300,"PROB, STAT W/APPLS H",208
01,ALACHUA,1210320,"AP STAT",206
01,ALACHUA,1300330,"AP MUS THEORY",12
01,ALACHUA,1300340,"MUSIC WORLD",66
01,ALACHUA,1300800,"FL PRE-IB MUSIC 1",32
01,ALACHUA,1300820,"IB MUSIC 3",16
01,ALACHUA,1300830,"IB MUSIC 4",4
01,ALACHUA,1301030,"M/J KEYBD 1",21
01,ALACHUA,1301040,"M/J KEYBD 2",3
01,ALACHUA,1301090,"M/J EXPL MUSIC 1",11
01,ALACHUA,1301320,"GUITAR 1",58
01,ALACHUA,1301330,"GUITAR 2",11
01,ALACHUA,1301340,"GUITAR 3",1
01,ALACHUA,1301360,"KEYBD 1",114
01,ALACHUA,1301370,"KEYBD 2",11
01,ALACHUA,1302000,"M/J BAND 1",435
01,ALACHUA,1302010,"M/J BAND 2",298
01,ALACHUA,1302020,"M/J BAND 3",316
01,ALACHUA,1302040,"M/J ORCH 1",40
01,ALACHUA,1302300,"BAND 1",78
01,ALACHUA,1302310,"BAND 2",80
01,ALACHUA,1302320,"BAND 3",35
01,ALACHUA,1302330,"BAND 4",13
01,ALACHUA,1302340,"BAND 5 HON",31
01,ALACHUA,1302350,"BAND 6 HON",24
01,ALACHUA,1302360,"ORCH 1",3
01,ALACHUA,1302370,"ORCH 2",4
01,ALACHUA,1302380,"ORCH 3",3
01,ALACHUA,1302400,"ORCH 5 HON",4
01,ALACHUA,1302460,"INSTRU ENS 1",22
01,ALACHUA,1302470,"INSTRU ENS 2",13
01,ALACHUA,1302480,"INSTRU ENS 3",11
01,ALACHUA,1302490,"INSTRU ENS 4 HON",8
01,ALACHUA,1302500,"JAZZ ENS 1",24
01,ALACHUA,1302510,"JAZZ ENS 2",7
01,ALACHUA,1302520,"JAZZ ENS 3",1
01,ALACHUA,1302530,"JAZZ ENS 4 HON",1
