,,,,,,,,,
"Student Average Daily Attendance/Average Daily Membership by School",,,,,,,,,
"2013-14, Survey 5 Data Final",,,,,,,,,
"*To provide meaningful results and to protect the privacy of individual students, data are displayed only when the total number of students in a group is at least 10 and when the performance of individuals would not be disclosed. Data for groups less than 10 are displayed with an asterisk (*).  A blank cell indicates no students in ADM.",,,,,,,,,
"DIST #",DISTRICT,"SCHOOL #","SCHOOL NAME","DAYS PRESENT","DAYS ABSENT",TOTAL,"PERCENT PRESENT","AVERAGE DAILY ATTENDANCE ","AVERAGE DAILY MEMBERSHIP"
5,BREVARD,4071,"ROBERT L. STEVENSON ELEME",84550,2534,87084,"0,9709016581691241",470,484
5,BREVARD,4111,"THOMAS JEFFERSON MIDDLE S",110588,4989,115577,"0,9568339721570901",614,642
5,BREVARD,4121,"LEWIS CARROLL ELEMENTARY",109338,4757,114095,"0,9583066742626758",607,634
5,BREVARD,5011,"COCOA BEACH JUNIOR/SENIOR",195398,10565,205963,"0,9487043789418488",1086,1144
5,BREVARD,5012,"THEODORE ROOSEVELT ELEMEN",70772,2972,73744,"0,9596984161423302",393,410
5,BREVARD,5021,"FREEDOM 7 ELEMENTARY SCHO",69410,2648,72058,"0,9632518249188154",386,400
5,BREVARD,5031,"CAPE VIEW ELEMENTARY SCHO",62204,3821,66025,"0,9421279818250663",346,367
5,BREVARD,6011,"SATELLITE SENIOR HIGH SCH",217563,8819,226382,"0,9610437225574472",1209,1258
5,BREVARD,6012,"DELAURA MIDDLE SCHOOL",126997,5538,132535,"0,958214811181952",706,736
5,BREVARD,6013,"SPESSARD L. HOLLAND ELEME",70588,2971,73559,"0,9596106526733642",392,409
5,BREVARD,6051,"SEA PARK ELEMENTARY SCHOO",54946,2638,57584,"0,9541886635176438",305,320
5,BREVARD,6061,"SURFSIDE ELEMENTARY SCHOO",67902,2615,70517,"0,9629167434802955",377,392
5,BREVARD,6071,"OCEAN BREEZE ELEMENTARY S",90957,5168,96125,"0,9462366710013004",505,534
5,BREVARD,6081,"INDIALANTIC ELEMENTARY SC",130916,6256,137172,"0,95439302481556",727,762
5,BREVARD,6082,"HERBERT C. HOOVER MIDDLE",93994,4611,98605,"0,9532376654327874",522,548
5,BREVARD,6101,"GEMINI ELEMENTARY SCHOOL",86541,4503,91044,"0,9505403980492948",481,506
5,BREVARD,6141,"DR. W.J. CREEL ELEMENTARY",162204,8786,170990,"0,9486168781800105",901,950
5,BREVARD,6501,"PALM BAY ACADEMY CHARTER",90915,4242,95157,"0,9554210410164254",505,529
