"COURSE ENROLLMENTS",,,,
"2013-14 SURVEY 2 FINAL DATA ",,,,
,,,,
"Dist #",District,"Course #",Course,Enrollment
01,ALACHUA,800310,"HEALTH 2-PER HEALTH",16
01,ALACHUA,800370,"PARENTING 1",10
01,ALACHUA,800380,"PARENTING 2",4
01,ALACHUA,800390,"HEALTH EXPER PARENTS",7
01,ALACHUA,900310,"HUM 1 HON",93
01,ALACHUA,1000000,"M/J INTENS LANG ARTS",741
01,ALACHUA,1000010,"M/J INTENS READ (MC)",1333
01,ALACHUA,1000020,"M/J INT READ & CAR P",1
01,ALACHUA,1000410,"INTENS READ",2013
01,ALACHUA,1001010,"M/J LANG ARTS 1",867
01,ALACHUA,1001020,"M/J LANG ARTS 1, ADV",722
01,ALACHUA,1001040,"M/J LANG ARTS 2",961
01,ALACHUA,1001050,"M/J LANG ARTS 2, ADV",791
01,ALACHUA,1001070,"M/J LANG ARTS 3",1075
01,ALACHUA,1001080,"M/J LANG ARTS 3, ADV",770
01,ALACHUA,1001300,"ENG SKLS 1",20
01,ALACHUA,1001310,"ENG 1",1055
01,ALACHUA,1001320,"ENG HON 1",688
01,ALACHUA,1001330,"ENG SKLS 2",43
01,ALACHUA,1001340,"ENG 2",1055
01,ALACHUA,1001350,"ENG HON 2",659
01,ALACHUA,1001360,"ENG SKLS 3",7
01,ALACHUA,1001370,"ENG 3",868
01,ALACHUA,1001380,"ENG HON 3",356
01,ALACHUA,1001400,"ENG 4",241
01,ALACHUA,1001405,"ENG 4: FL COLL PREP",507
01,ALACHUA,1001410,"ENG HON 4",258
01,ALACHUA,1001420,"AP ENG COMPO",383
01,ALACHUA,1001430,"AP ENG LIT COMPO",333
01,ALACHUA,1001460,"APPL COMMS 1",20
01,ALACHUA,1001470,"APPL COMMS 2",2
01,ALACHUA,1001550,"AICE ENG LANG AS",81
01,ALACHUA,1001560,"PRE-AICE ENG LANG IG",106
01,ALACHUA,1001800,"FL PRE-IB ENG 1",153
01,ALACHUA,1001830,"IB ENGLISH 4",109
01,ALACHUA,1002000,"M/J LANG ARTS 1 ESOL",17
01,ALACHUA,1002010,"M/J LANG ARTS 2 ESOL",19
01,ALACHUA,1002020,"M/J LANG ARTS 3 ESOL",19
01,ALACHUA,1002180,"M/J DE LANG ART ESOL",42
01,ALACHUA,1002300,"ENG 1 THROUGH ESOL",13
01,ALACHUA,1002310,"ENG 2 THROUGH ESOL",11
01,ALACHUA,1002320,"ENG 3 THROUGH ESOL",6
01,ALACHUA,1002380,"DEV LANG ARTS ESOL",63
01,ALACHUA,1002520,"ENG 4 THROUGH ESOL",2
01,ALACHUA,1005365,"LIT IN MEDIA HON",18
01,ALACHUA,1005370,"AICE ENG LIT 1 AS",105
01,ALACHUA,1005380,"PRE-AICE ENG LIT IG",117
01,ALACHUA,1006300,"JOURN 1",47
01,ALACHUA,1006310,"JOURN 2",24
01,ALACHUA,1006320,"JOURN 3",2
