"COURSE ENROLLMENTS",,,,
"2012-13 SURVEY 3 DATA FINAL",,,,
,,,,
"Dist #",District,"Course #",Course,Enrollment
1,ALACHUA,109310,"PORTF 1",8
1,ALACHUA,109350,"ADV PL STUDIO/2-D",66
1,ALACHUA,114840,"ART STUDIO 1-A-IB",13
1,ALACHUA,114850,"ART STUDIO 2-A-IB",5
1,ALACHUA,200300,"INTROD CPRTS",138
1,ALACHUA,200310,"CPRT APPLS 1",150
1,ALACHUA,200320,"ADV PL CPTR SCI A",19
1,ALACHUA,200330,"CPRT APPLS 2",110
1,ALACHUA,200340,"APPL CPTR TECH",15
1,ALACHUA,201300,"CPTR PROG 1",17
1,ALACHUA,201310,"CPTR PROG 2",4
1,ALACHUA,300400,"DANCE REPERT 1",9
1,ALACHUA,300410,"DANCE REPERT 2",2
1,ALACHUA,400000,"M/J DRAMA 1",4
1,ALACHUA,400100,"M/J COMPRE THEA",46
1,ALACHUA,400300,"INTROD DRAMA",17
1,ALACHUA,400310,"THEATRE 1",275
1,ALACHUA,400320,"THEATRE 2",38
1,ALACHUA,400330,"THEATRE 3 HON",24
1,ALACHUA,400340,"THEATRE 4 HON",5
1,ALACHUA,400370,"ACTING 1",45
1,ALACHUA,400380,"ACTING 2",2
1,ALACHUA,400410,"STAGECRAFT 1",38
1,ALACHUA,400420,"STAGECRAFT 2",12
1,ALACHUA,400430,"STAGECRAFT 3",3
1,ALACHUA,400440,"STAGECRAFT 4",4
1,ALACHUA,400810,"THEA 1-IB",13
1,ALACHUA,400820,"THEA 2-IB",4
1,ALACHUA,500000,"M/J PERS CAR SCH 1",224
1,ALACHUA,500002,"M/J PERS CAR SCH C/P",10
1,ALACHUA,500010,"M/J PERS CAR SCH 2",30
1,ALACHUA,500300,"EXEC INTERN 1",66
1,ALACHUA,500310,"EXEC INTERN 2",1
1,ALACHUA,500370,"VOL PUB SERV",169
1,ALACHUA,500500,"PERS,CAR,SCH DEV 1",488
1,ALACHUA,500510,"PERS,CAR,SCH DEV 2",172
1,ALACHUA,600000,"M/J EXPLOR WHEEL 1",263
1,ALACHUA,600020,"M/J EXPLOR WHEEL 3",78
1,ALACHUA,600030,"M/J EXPLOR WHEEL 4",50
1,ALACHUA,600040,"M/J EXPLOR WHEEL 5",103
1,ALACHUA,600050,"M/J EXPLOR WHEEL 6",6
1,ALACHUA,700000,"M/J INTROD FL 1",10
1,ALACHUA,701020,"M/J FRENCH ADV",37
1,ALACHUA,701320,"FRENCH 1",104
1,ALACHUA,701330,"FRENCH 2",95
1,ALACHUA,701340,"FRENCH 3 HON",20
1,ALACHUA,701350,"FRENCH 4 HON",1
1,ALACHUA,701360,"FRENCH 5 HON",1
1,ALACHUA,701380,"ADV PL FRENCH",38
1,ALACHUA,701800,"FRENCH 1-FL PRE-IB",35
1,ALACHUA,701810,"FRENCH 2-FL PRE-IB",37
1,ALACHUA,701830,"FRENCH 4-B-IB",31
1,ALACHUA,702320,"GERMAN 1",64
1,ALACHUA,702330,"GERMAN 2",54
1,ALACHUA,702340,"GERMAN 3 HON",23
1,ALACHUA,702350,"GERMAN 4 HON",7
1,ALACHUA,702360,"GERMAN 5 HON",2
1,ALACHUA,705320,"ITALIAN 1",31
1,ALACHUA,705330,"ITALIAN 2",15
1,ALACHUA,705340,"ITALIAN 3 HON",9
1,ALACHUA,706310,"LATIN 2",2
1,ALACHUA,708000,"M/J SPANISH BEG",79
1,ALACHUA,708010,"M/J SPANISH INTERM",7
1,ALACHUA,708020,"M/J SPANISH ADV",342
1,ALACHUA,708340,"SPANISH 1",731
1,ALACHUA,708350,"SPANISH 2",744
1,ALACHUA,708360,"SPANISH 3 HON",148
1,ALACHUA,708370,"SPANISH 4 HON",52
1,ALACHUA,708380,"SPANISH 5 HON",3
1,ALACHUA,708400,"ADV PL SPANISH",113
1,ALACHUA,708530,"AICE SPANISH AL",20
1,ALACHUA,708800,"SPANISH 1-FL PRE-IB",102
1,ALACHUA,708810,"SPANISH 2-FL PRE-IB",87
1,ALACHUA,708830,"SPANISH 4-B-IB",83
1,ALACHUA,708840,"SPANISH 5-B-IB",3
1,ALACHUA,712000,"M/J TURK, BEG",4
1,ALACHUA,712010,"M/J TURK, INTERM",5
1,ALACHUA,717300,"AMER SIGN LANG 1",59
1,ALACHUA,717310,"AMER SIGN LANG 2",87
1,ALACHUA,800300,"HEALTH1-LIF MGMT SKL",45
1,ALACHUA,800310,"HEALTH 2-PER HEALTH",17
1,ALACHUA,800370,"PARENTING 1",8
1,ALACHUA,800380,"PARENTING 2",12
1,ALACHUA,900320,"HUM 2 HON",124
1,ALACHUA,1000000,"M/J INTENS LANG ARTS",703
1,ALACHUA,1000010,"M/J INTENS READ (MC)",1501
1,ALACHUA,1000410,"INTENS READ",1839
1,ALACHUA,1001010,"M/J LANG ARTS 1",968
1,ALACHUA,1001020,"M/J LANG ARTS 1, ADV",764
1,ALACHUA,1001040,"M/J LANG ARTS 2",1008
1,ALACHUA,1001050,"M/J LANG ARTS 2, ADV",772
1,ALACHUA,1001070,"M/J LANG ARTS 3",1024
1,ALACHUA,1001080,"M/J LANG ARTS 3, ADV",714
1,ALACHUA,1001300,"ENG SKLS 1",41
1,ALACHUA,1001310,"ENG 1",1196
1,ALACHUA,1001320,"ENG HON 1",591
1,ALACHUA,1001330,"ENG SKLS 2",23
1,ALACHUA,1001340,"ENG 2",997
1,ALACHUA,1001350,"ENG HON 2",676
1,ALACHUA,1001370,"ENG 3",845
1,ALACHUA,1001380,"ENG HON 3",338
1,ALACHUA,1001400,"ENG 4",294
1,ALACHUA,1001405,"ENG 4: FL COLL PREP",516
1,ALACHUA,1001410,"ENG HON 4",211
1,ALACHUA,1001420,"ADV PL ENG COMPO",316
1,ALACHUA,1001430,"ADV PL ENG LIT COMPO",337
1,ALACHUA,1001460,"APPL COMMS 1",31
1,ALACHUA,1001470,"APPL COMMS 2",1
1,ALACHUA,1001550,"AICE ENG LANG AS",105
1,ALACHUA,1001560,"PRE-AICE ENG LANG IG",116
1,ALACHUA,1001800,"ENG 1-FL PRE-IB",137
1,ALACHUA,1001830,"ENG 4-IB",115
1,ALACHUA,1002000,"M/J LANG ARTS 1 ESOL",19
1,ALACHUA,1002010,"M/J LANG ARTS 2 ESOL",19
1,ALACHUA,1002020,"M/J LANG ARTS 3 ESOL",12
1,ALACHUA,1002180,"M/J DE LANG ART ESOL",50
1,ALACHUA,1002300,"ENG 1 THROUGH ESOL",21
1,ALACHUA,1002310,"ENG 2 THROUGH ESOL",10
1,ALACHUA,1002320,"ENG 3 THROUGH ESOL",6
1,ALACHUA,1002380,"DEV LANG ARTS ESOL",68
1,ALACHUA,1002520,"ENG 4 THROUGH ESOL",3
1,ALACHUA,1005370,"AICE ENG LIT 1 AS",81
1,ALACHUA,1005380,"PRE-AICE ENG LIT IG",93
1,ALACHUA,1006000,"M/J JOURN 1",16
1,ALACHUA,1006300,"JOURN 1",62
1,ALACHUA,1006310,"JOURN 2",20
1,ALACHUA,1006320,"JOURN 3 HON",6
1,ALACHUA,1007300,"SPEECH 1",51
1,ALACHUA,1007330,"DEBATE 1",30
1,ALACHUA,1007350,"DEBATE 3 HON",15
1,ALACHUA,1008010,"M/J READ 1",533
1,ALACHUA,1008020,"M/J READ 1 ADV",285
1,ALACHUA,1008040,"M/J READ 2",589
1,ALACHUA,1008050,"M/J READ 2 ADV",454
1,ALACHUA,1008070,"M/J READ 3",663
1,ALACHUA,1008080,"M/J READ 3 ADV",329
1,ALACHUA,1008300,"READ 1",34
1,ALACHUA,1008310,"READ 2",5
1,ALACHUA,1008320,"ADV READ",16
