"Students Absent 21 or More Days by School
2014-15, Final Survey 5 - Revised as of 4/24/17",,,,,,
"*To provide meaningful results and to protect the privacy of individual students, data are displayed only when the total number of students in a group is at least 10 and when the performance of individuals would not be disclosed. Data for groups less than 10 are displayed with an asterisk (*).",,,,,,
"Dist #","District Name","Schl #","School Name",Enrollments,"Absent 21 Days or Over","% Absent 21 or More Days"
1,ALACHUA,461,"HIGH SPRINGS COMMUNITY SCHOOL",896,61,"0,06808035714"
1,ALACHUA,481,"FORT CLARKE MIDDLE SCHOOL",932,76,"0,08154506437"
1,ALACHUA,482,"HIDDEN OAK ELEMENTARY SCHOOL",869,37,"0,04257767548"
1,ALACHUA,492,"FEARNSIDE FAMILY SERVICES CENTER",72,22,"0,30555555555"
1,ALACHUA,501,"KIMBALL WILES ELEMENTARY SCHOOL",949,43,"0,04531085353"
1,ALACHUA,502,"KANAPAHA MIDDLE SCHOOL",1075,86,"0,08"
1,ALACHUA,503,"WILES HEAD START",104,39,"0,375"
1,ALACHUA,510,"LAWTON M. CHILES ELEMENTARY SCHOOL",772,0,0
1,ALACHUA,520,"MEADOWBROOK ELEMENTARY SCHOOL",786,22,"0,02798982188"
1,ALACHUA,531,"NEWBERRY ELEMENTARY SCHOOL",645,32,"0,0496124031"
1,ALACHUA,541,"C. W. NORTON ELEMENTARY SCHOOL",747,39,"0,05220883534"
1,ALACHUA,561,"WILLIAM S. TALBOT ELEM SCHOOL",744,32,"0,04301075268"
1,ALACHUA,571,"W. W. IRBY ELEMENTARY SCHOOL",575,67,"0,11652173913"
1,ALACHUA,591,"OAK VIEW MIDDLE SCHOOL",757,56,"0,07397622192"
1,ALACHUA,602,"ALACHUA ACADEMY",35,0,0
1,ALACHUA,603,AMIKIDS,75,0,0
1,ALACHUA,604,PACE,67,13,"0,19402985074"
1,ALACHUA,950,"THE ONE ROOM SCHOOL HOUSE PROJECT",260,27,"0,10384615384"
1,ALACHUA,951,"MICANOPY AREA COOPERATIVE SCHOOL, INC.",193,7,"0,03626943005"
1,ALACHUA,953,"CARING & SHARING LEARNING SCHOOL",169,0,0
1,ALACHUA,955,"THE EINSTEIN SCHOOL, INC.",115,25,"0,21739130434"
1,ALACHUA,956,"EXPRESSIONS LEARNING ARTS ACADEMY",93,7,"0,0752688172"
1,ALACHUA,957,"ALACHUA LEARNING CENTER, INC. ELEMENTARY",125,11,"0,088"
1,ALACHUA,958,"GENESIS PREPARATORY SCHOOL",66,2,"0,0303030303"
1,ALACHUA,961,"MICANOPY MIDDLE SCHOOL, INC.",81,5,"0,06172839506"
1,ALACHUA,981,"HEALTHY LEARNING ACADEMY CHARTER SCHOOL",102,0,0
1,ALACHUA,991,"SIATECH GAINESVILLE",389,46,"0,11825192802"
1,ALACHUA,1003,"ALACHUA MYCROSCHOOL OF INTEGRATED ACADEMICS AND TECHNOLOGIES (MYCROSCHOOL GAINESVILLE)",485,150,"0,30927835051"
1,ALACHUA,1010,"ONE ROOM MIDDLE SCHOOL",45,1,"0,02222222222"
1,ALACHUA,1011,"ALACHUA LEARNING CENTER , INC. MIDDLE",64,9,"0,140625"
1,ALACHUA,1012,"BOULWARE SPRINGS",136,3,"0,02205882352"
1,ALACHUA,7004,"ALACHUA ESCHOOL (VIRTUAL FRANCHISE)",79,0,0
1,ALACHUA,7023,"ALACHUA VIRTUAL INSTRUCTION PROGRAM (DISTRICT PROVIDED)",22,0,0
1,ALACHUA,9029,"ALACHUA REGIONAL JUVENILE DETENTION CENTER",413,0,0
2,BAKER,12,"BAKER COUNTY SENIOR HIGH SCHOOL",1345,275,"0,20446096654"
2,BAKER,13,"MACCLENNY ELEMENTARY SCHOOL",692,81,"0,11705202312"
2,BAKER,22,"PREK/KINDERGARTEN CENTER",685,136,"0,19854014598"
2,BAKER,31,"J FRANKLYN KELLER INTERMEDIATE SCHOOL",829,107,"0,12907117008"
