"Students Absent 21 or More Days by School
2013-14, Final Survey 5 - Revised 4/24/17",,,,,,
"*To provide meaningful results and to protect the privacy of individual students, data are displayed only when the total number of students in a group is at least 10 and when the performance of individuals would not be disclosed. Data for groups less than 10 are displayed with an asterisk (*).",,,,,,
"Dist #","District Name","Schl #","School Name",Enrollments,"Absent 21 Days or Over","% Absent 21 or More Days"
6,BROWARD,371,"DILLARD HIGH SCHOOL",2110,489,"0,2317535545"
6,BROWARD,391,"DEERFIELD PARK ELEMENTARY SCHOOL",645,50,"0,07751937984"
6,BROWARD,403,"HALLANDALE HIGH SCHOOL",1473,448,"0,30414120841"
6,BROWARD,405,"LANIER-JAMES EDUCATION CENTER",155,15,"0,09677419354"
6,BROWARD,452,"WHIDDON RODGERS EDUCATION CENTER",2470,917,"0,37125506072"
6,BROWARD,461,"OAKRIDGE ELEMENTARY SCHOOL",746,61,"0,08176943699"
6,BROWARD,471,"OLSEN MIDDLE SCHOOL",1044,136,"0,13026819923"
6,BROWARD,481,"MCNICOL MIDDLE SCHOOL",1037,37,"0,0356798457"
6,BROWARD,491,"HARBORDALE ELEMENTARY SCHOOL",470,15,"0,03191489361"
6,BROWARD,501,"BROWARD ESTATES ELEMENTARY SCHOOL",571,50,"0,08756567425"
6,BROWARD,511,"WATKINS ELEMENTARY SCHOOL",820,35,"0,04268292682"
6,BROWARD,521,"NORTH ANDREWS GARDENS ELEMENTARY SCHOOL",881,55,"0,06242905788"
6,BROWARD,531,"MIRAMAR ELEMENTARY SCHOOL",923,37,"0,04008667388"
