"COURSE ENROLLMENTS BY DISTRICT BY COURSE",,,,
"SCHOOL YEAR 2014-15",,,,
"SURVEY 2 DATA AS OF 12/20/2014",,,,
,,,,
"DIST #","DISTRICT NAME","COURSE #","COURSE NAME",ENROLLMENT
01,ALACHUA,1303310,"CHORUS 2",11
01,ALACHUA,1303320,"CHORUS 3",2
01,ALACHUA,1303440,"VOCAL ENS 1",6
01,ALACHUA,1303450,"VOCAL ENS 2",1
01,ALACHUA,1303460,"VOCAL ENS 3",2
01,ALACHUA,1305300,"EURHY 1",19
01,ALACHUA,1305310,"EURHY 2",2
01,ALACHUA,1305320,"EURHY 3",3
01,ALACHUA,1305330,"EURHY 4",3
01,ALACHUA,1400000,"M/J PEER COUN 1",18
01,ALACHUA,1400300,"PEER COUN 1",54
01,ALACHUA,1400310,"PEER COUN 2",2
01,ALACHUA,1400320,"PEER COUN 3",18
01,ALACHUA,1500000,"M/J ADAP PE IEP/504",17
01,ALACHUA,1501300,"PERS FIT",71
01,ALACHUA,1501310,"FIT LIFST DESIGN",6
01,ALACHUA,1501340,"WEIGHT TRAIN 1",256
01,ALACHUA,1501350,"WEIGHT TRAIN 2",50
01,ALACHUA,1501360,"WEIGHT TRAIN 3",29
01,ALACHUA,1501410,"POWER WEIGHT TRAIN 1",2
01,ALACHUA,1502410,"INDIV/DUAL SPRTS 1",5
01,ALACHUA,1502420,"INDIV/DUAL SPRTS 2",35
01,ALACHUA,1502430,"INDIV/DUAL SPRTS 3",27
01,ALACHUA,1502480,"OUTDOOR ED",168
01,ALACHUA,1503310,BASKETBALL,149
01,ALACHUA,1503320,SOCCER,29
01,ALACHUA,1503350,"TEAM SPRTS 1",206
01,ALACHUA,1503360,"TEAM SPRTS 2",11
01,ALACHUA,1505500,"VOLLEYBALL 1",42
01,ALACHUA,1505510,"VOLLEYBALL 2",10
01,ALACHUA,1505520,"VOLLEYBALL 3",6
01,ALACHUA,1506320,"HOPE-PE V",622
01,ALACHUA,1508000,"M/J FITNESS GRADE 6",738
01,ALACHUA,1508200,"M/J TEAM SPORTS GRD7",18
01,ALACHUA,1508400,"M/J EXTRME SPRTS GD8",596
01,ALACHUA,1508500,"M/J IND/DUAL SPT GD8",15
01,ALACHUA,1508600,"M/J COMPRE GRDE 6/7",104
01,ALACHUA,1508700,"M/J COMPRE GDE 7/8",862
01,ALACHUA,1700000,"M/J RESEARCH 1",319
01,ALACHUA,1700010,"M/J RESEARCH 2",259
01,ALACHUA,1700020,"M/J RESEARCH 3",142
01,ALACHUA,1700100,"M/J CRIT THINK",26
01,ALACHUA,1700300,"RESEARCH 1",88
01,ALACHUA,1700310,"RESEARCH 2",29
01,ALACHUA,1700364,"AICE GLBL PERSP 1 AS",75
01,ALACHUA,1700370,"CRIT THINK ST SKLS",105
01,ALACHUA,1700374,"AICE THINK SKLS 2 AL",55
01,ALACHUA,1700380,"CAR RESA&DECI MAK",17
01,ALACHUA,1800300,"AF AERO SCI 1",49
01,ALACHUA,1800310,"AF AERO SCI 2",29
01,ALACHUA,1800320,"AF AERO SCI 3",30
01,ALACHUA,1800330,"AF AEROSCI 4 LEADDEV",9
01,ALACHUA,1802300,"NAVAL SCI 1",115
01,ALACHUA,1802310,"NAVAL SCI 2",39
01,ALACHUA,1802320,"NAVAL SCI 3",44
