"Students Absent 21 or More Days by School
2012-13, Final Survey 5 - Revised 4/24/17",,,,,,
"*To provide meaningful results and to protect the privacy of individual students, data are displayed only when the total number of students in a group is at least 10 and when the performance of individuals would not be disclosed. Data for groups less than 10 are displayed with an asterisk (*).",,,,,,
"Dist #","District Name","Schl #","School Name",Enrollments,"Absent 21 Days or Over","% Absent 21 or More Days"
1,ALACHUA,991,"SIATECH GAINESVILLE",319,1,"0,00313479623"
1,ALACHUA,1001,"SWEETWATER BRANCH ACADEMY",79,11,"0,13924050632"
1,ALACHUA,1002,"SWEETWATER BRANCH ACADEMY ELEMENTARY SCHOOL",123,0,0
1,ALACHUA,1003,"ALACHUA MYCROSCHOOL OF INTEGRATED ACADEMICS AND TECHNOLOGIES (MYCROSCHOOL GAINESVILLE)",456,185,"0,40570175438"
1,ALACHUA,1010,"ONE ROOM MIDDLE SCHOOL",39,3,"0,07692307692"
1,ALACHUA,1011,"ALACHUA LEARNING CENTER , INC. MIDDLE",61,7,"0,11475409836"
1,ALACHUA,7001,"ALACHUA VIRTUAL INSTRUCTION PROGRAM",*,*,*
1,ALACHUA,9029,"N. FLORIDA JUVENILE DETENTION",439,0,0
2,BAKER,12,"BAKER COUNTY SENIOR HIGH SCHOOL",1294,311,"0,24034003091"
2,BAKER,13,"MACCLENNY ELEMENTARY SCHOOL",678,105,"0,15486725663"
2,BAKER,22,"PREK/KINDERGARTEN CENTER",742,138,"0,18598382749"
2,BAKER,31,"J FRANKLYN KELLER INTERMEDIATE SCHOOL",760,107,"0,14078947368"
2,BAKER,32,"BAKER COUNTY MIDDLE SCHOOL",1207,191,"0,15824357912"
2,BAKER,91,"WESTSIDE ELEMENTARY SCHOOL",678,94,"0,13864306784"
3,BAY,61,"BAY HIGH SCHOOL",1472,198,"0,13451086956"
3,BAY,71,"MERRITT BROWN MIDDLE SCHOOL",901,145,"0,16093229744"
3,BAY,81,"HUTCHISON BEACH ELEMENTARY SCHOOL",929,138,"0,14854682454"
3,BAY,91,"CEDAR GROVE ELEMENTARY SCHOOL",665,84,"0,12631578947"
3,BAY,101,"CALLAWAY ELEMENTARY SCHOOL",678,91,"0,13421828908"
3,BAY,111,"MERRIAM CHERRY STREET ELEMENTARY",499,55,"0,11022044088"
3,BAY,131,"LUCILLE MOORE ELEMENTARY SCHOOL",682,88,"0,12903225806"
3,BAY,141,"EVERITT MIDDLE SCHOOL",966,139,"0,14389233954"
3,BAY,151,"HILAND PARK ELEMENTARY SCHOOL",903,74,"0,08194905869"
3,BAY,161,"JINKS MIDDLE SCHOOL",727,117,"0,16093535075"
